clean_for_labeling,sentiment
membuat kecanduan jadi hancur peran suami dalam rumah tangga,positive
tolol hanying capek sekali saya yang memakai sinergi itu gue doang tapi susah nya meminta ampun buat mencari hero padahal hero masih penuh kagak ada yang memakai kalau hero gold ok nunggu lategame lah ini hero gold popol hanying itu kagak keluar sudah mau lv anying kesel sekali saya sistem lo benerin kocak sudah capek saya mending uninstall daripada stres sama sistem lo asw,negative
game nya seru tapi saya tidak kebagian kode,negative
bagussekali,neutral
membuat hero tidak mikir moskov terlalu broken haya bintang kalah sama moskov bmanajamen kalian mending di perbaiki ajyg main kami menjadi mendengarkan apa kata player,negative
server terputus mulu meskipun koneksi lancar,negative
update tidak balance ngawurrrrr,negative
gamenya jelek sekali jangan di download ya gaes tapi bohong hayuuu gema bagus sekali tapi,negative
kenapa fitur mode practice di advance server hanya untuk konten kreator sangat tidak adil bagi bukan yang konten kreator,negative
game serumantap jangan sampai lebih dari gb ya,neutral
maaf karena sering lostreak tidak pernah menang,negative
tolong combonya dirubah lagi seperti awal,negative
tolong membikin mcgg offline juga dong moonton seperti mlbb ada versi offline nya juga,negative
serius nih gue top up weekly saat belum ada yang masuk balikin uang gue woy gue top up moonton bukan sedekah uang ke lo,negative
hero moskov tidak wajar damage tidak setara hero gold lainnya tidak masuk akal,negative
game sampah tidak seimbang kalau mau seimbang semua sinergi di buwat sama jadi tidak ada rebutan hero,negative
aneh masa sudah download fullbalik ke orisinal suruh download lagi balik lagi ke advan download lagi ribet sistem membuat lama,negative
benerin dulu dark sistem ml lah,negative
monton tolong lah gamenya tambah dirusakin biar musuhnya setara dengan skill kita,neutral
game bug game kurang puas game ra adil game boy,positive
sampah hero hama hapus saja tidak punya skilll,negative
game burix mencari hero meminta ampun mau menang di membuat kambek woy moonton banyak keluh kesah enggak ada respon sama sekali sudah sinyal jelekkombo enggak sesuai pantas saja rantingnya rendah,negative
tidak bermutu pilih kasih,negative
sekarang mangkin tidak jelas lebih seru season pertama,negative
tolong dong moonton masa di game nya ada cheat terus sudah di laporkan malah tidak di konfirmasi lagi nyusahin tolong di benar kan lagi,negative
oi game lu tidak adil saya ngerol di lv tidak dapat haya sedangkan musuh di lv malah dapat game anzin,negative
magic cest dari dulu sama masalah nya tidak adil antara player ada yang lucky ada yang nggakjadi gameplay nya tidak seimbang berat sebelah ada yang bagus shope nya ada yang busuk kalau bisa disetarakan baru adil saya player lama kecewa,negative
kalau deh menang game selanjutnya malah scam rollnya,negative
masih ada orang yang bisa ngecheat di mc gogo cari saja di tiktok,negative
change untuk mendapatkan hero yang dibutuhkan tinggi tapi sering tidak muncul hero yang dinginkan padahal stock hero tersebut masih lumayan banyak,negative
hero yang di butuhkan tidak pernah keluar ini akun saya yang tidak beruntung apa memang sistem monton yang seperti taii,negative
kurangya skil comader yang lebih bervariasi seperti dulu sungguh di sayangkan,negative
tolong tambahkan starkor macam magic chess dulummin,negative
balikin magic chesss yang dulu kenapa karena magic chesss yang sekarang tidak bisa buat xperimen harus modal beruntung doang ini mah,negative
setiap main pasti lag masa mau ambil item saja susah padahal jaringaninternethp deh lebih dari cukup kecewa,negative
terlalu sering update jadi tidak seru,negative
masih enakan mc yang dulu semenjak upgrat syaa tidak pernah main mc bahkan saya uninstal ml dan mc tolong moonton kembalikan megic chess yang dulu karena lebih seru dan lebih menghibur,negative
susahnya mencari sinergi kabom mage dari awal gameplay sampai lose pun tidak di kasih menyesal saya install lagi,negative
tidak suka enak yang kemarin ini mah pusing sudah jadi semua juga masih kalah poko nya mah hapuss ml gogo berat,negative
game terlalu pelit dalam mengasih hero,positive
tidak bisa matching ke dalam permainan masalah jaringanpake wifi tetap saja tidak bisapake data seluler sama saja ini game busuk yang pernah ada uninstall game burik,negative
error tidak jelas utamakan kenyamanan pengguna dong,negative
banyak citt barusan ketemu cit mohon di tingkat kan sistem ke amanan nya moonton,negative
nature spirit kenapa di hapus moonton untuk saat ini bintang satu saja,negative
kembalikan mc old yang ini banyak bug,negative
eruditio saya jangan di nerf lah monton,negative
game lawak season baru kok langsung ada yang mythicfraud sekali bug buanyaaaaaak lawan tidak seimbang ketika sudah mythictibatiba koneksi putus saat dapat hero yang diinginkanampas lawaaaak sekali report dibatasi game ampasssssss ampassssss ampassssssss ampaaaaaaaassss,negative
aneh game nya yang ngasal dikasih menang yang mainnya benar dikasih kalah bagaimana sih kalau tidak bisa membuat game tidak usah membuat,negative
glory tidak bisa main aneh amat ubah lagi lah kalau di kembalikan saya kasih bintang nih,negative
perpindahan item tidak cepatsinyal mendadak menghilang akurat seperti boot seperti sudah diperkirakan siapa yang menang,negative
game catur,positive
mbak kecil tapi mengunduh nya lama buangetudah mode enggak sinyalnya tetap saja luammaaa,negative
saya kasih bintang karena game nya bagustapi tolong untuk developer nya untuk kembalikan mode gold rush nya,negative
kalau koneksi kita sedang lag tidak bisa masuk di perbaiki tolong,negative
gamenya bagus kalau yang dulu pernah main game ini di ml pasti paham,negative
tolong diperbaiki lagi masalah hero masak level dapat hero gold kalah sama yang level dalam dapat hero gold ngeroll sampai uang habis tidak dapat kocak amat,negative
main mode tag ampas dapat team yang sering afk tidak main sama sekali tidak ada menu report team yang sengaja kalah di afkin,negative
kenapa commander tharz hilang dan tidak ada di saya,negative
bagaimana sih ini game masa saya tidak di kasih hero anjing tapi seru juga,negative
game ta saya mencari hero yang smaa saja tidak ketemu,negative
jangan nerf tharzz,negative
game tolol game yang kemenangannya bisa di atur sama adminnya game rusak game pengaturan skor,positive
monton anjing,negative
blessing fokus kan ke sinergi yang sudah adah tidak usah ngasal yang lainn,negative
untuk yang lain sudah bagus sih tapi tolong agar akun bisa di pisah dari mlnya jangan di satuin tmbahn fitur login ke akun² lain seperti fb google dst,negative
saya sekarang sudah merasa lebih old karena saya main dari sih,negative
sinyal lambat kalah sama yang satunya,negative
pliss lah kurangi drak sistem nya tlol,negative
server suka down lag lag enggak jelas,negative
wkwkwkwkw saya sudah ngerank posisi ke cape ngumpulin stak eru sampai tapi malah tidak masuk history alhasil rank pun tidak naik game kocag,negative
hapus fitur setelah kalah match mode spectator atau tambahkan fitur nonaktifkan nya mengesalkan sumpah membuat ngeframe ponsel bngsd,negative
saya kan loginn mlbb dan baca event skin gratisan nah kan ada misi skin sepesial nahhl dan saya baca misinya di situu tertuliss capai rank warrior di mcgg nah disitu saya deh capai rank elite tapi kok belum bisa di klaim,negative
asikkkkkkk dan mantapppp,neutral
kenapa diskonec mulu deh nih game,neutral
kapan nih gold rush dibalikin lagi,negative
gamenya terlalu boros memori jadi orang yang ponsel nya kentang tidak bisa main jadi saya mohon dari pihak game untuk mengurangkan data yang diperoleh dari hasil game,negative
tingkatkan terus nanti menambah bintang lagi,negative
saat ditengah pertandingan terjadi eror yang membuat login kembali dan hero dari kartu pun berganti setelah itu saat pertandingan berakhir pertandingan tidak terhitung padahal peringkat satu dan juga bintang tidak naik,negative
tolong di kasih fitur seperti mlbb fitur yang bisa pakai koneksi wifidata agar enak buat main,negative
server lu benerin kocak didalem game eror koneksi mulu padahal ff ml lancarjuara tapi tidak naik bintang samsek apalah hancur buang² waktu,negative
lagi main tiba ada tulisan error terus kluar sendiri sekali masuk lagi kok sudah kalah padahal nyawa masih an terus story kalah nya tidak masuk akal sudah jelas main apa slot kok di story nya slot tidak jelas terus sekarang mau masuk tidak bisa lagi selalu stak di pertama mau mulai main sudah sampai tetap stak di situ,negative
koneksi saya bagus tiba dc jadinya gogo cardnya keganti terus matchnya itu tidak kehitung hhhaa,negative
moonton tolonglah mode duo player mengasih ke teman jangan kali doang dong enggak ada batas dong monton itu saja keritikan saya terima kasih,negative
restart sendiri banyak bugg,negative
ini kenapa ya kan saat main tiba tiba login ulang terus pertandingan nya sudah selesai tapi kok saya masih loading ya,negative
kok bisa ya saya kan menang ke bukannya naik bintang malah turun bintang coba bisa jelasin enggak buat developer game magic gogo ini,negative
lucu ya di mccg kita menang nomor malah bintangnya berkurang,negative
keluar keliar sendiri saat bermain updatean jelek,negative
selalu mengalami gangguan pengalaman bermain kurang puas sering mengalami lag,neutral
wehhhh erorrrr jadi kurang bintang coyy kluar kluar sendiri habis itu match nya selesai sendiri jadi bintang alah,negative
saat main game nya suka ngerelog sendiri ada notif error tidak diketahui terus saat login lagi binta heronya keriset equitmennya berubah terus cardnya keganti sendiri,negative
game ampas isi cheater semua,negative
game enggak jelasjelas² hastag malah mines anjing bintang mana ke keluar² terus lagi karena error enggak jelas hadeh enggak jelas batrugi sekali juara malah mines bintang kalau bisa kirim foto sudah saya ss deh,negative
pada tanggal hari ini saya terkena pengalaman yang buruk di karenakan cheater tolong segera perbaiki masalah cheater ini kronologi saya di posisi sudah menang dan tiba² disconnect karena eror tiba² ketika masuk lagi saya sudah ada di room dan ketika melihat riwayat saya suren di padahal saya dalam posisi menang dan saya hanya menaruh dua hero juga tidak ada player yang lain selain saya tolong segera perbaiki masalah ini,negative
sudah dua kali kena bug di permainan rank masa dapat peringkat satu tapi bintangnya minus kacau sekali moonton ini,negative
bug juara bintang kagak menambah lagi koneksi eror,negative
woy sering nge bug saat main tiba tiba relog trss,neutral
sering muncul notif eror tidak diketahui mohon coba lagi nanti,negative
tidak jelas game apaan ini error pasti pertandingan itemitem diganti semua tidak jelasga jelas,negative
mending di perbaiki lagi sering log out kalau pakai data,negative
saya menang juara satu tapi malah turun binatang ini bagaimana ceritanya harusnya naik bintang tapi malah turun bintang,negative
untuk gemplay sekarang sangat bagus dan suda ada karakter lain nya sangat bagus dan saya sangat suka yang sekarang dari pada yang sebelumnya,negative
game ampas banyak eror laghapus saja seperti ampas,negative
elor suka tiba aneh apdet tidak ada aba,negative
setelah update gamenya bug,neutral
tolong hero gold di hapus saja,negative
game aneh ada saja masalahnya kocag,negative
keluar mulu aplikasinya malah lagi rank sudah begitu masa juara dapat hanya bintang makin tidak jelas,negative
game kontollll,positive
game rusak relog relog terus enggak bisa maij ini bagaimana moonton player nya boleh main kagak,negative
apalah sempat² error aplikasi,negative
lagi enak main toba eror sistem bangkai,negative
tidak nyaman bermain saya kali di reload padahal sedang menikmati permainan moga makin ambruk game nya,positive
perbaiki bug error relogmenghubungkan kembali kondisi koneksi bagus padahal tambahkan phase token event skin mythical,negative
sistem nya sampah saya sudah pilih kartu yang bagus masa iya tiba tiba relog kartu nya ke ganti pepekla,negative
sementara main muncul pemberitahuan error tidak diketahui mohon coba lagi nanti,negative
game tolol eror mulu sinergi udha jadi kejual semua,negative
error tidak jelas kocak keluar sendiri gembel,negative
bintang dulu setiap match gue error melulu,negative
server tolong diperbaiki bener² jelek sever nya,negative
saya menang mulu bintang,negative
tidak jelas masa modal hero harga bintang bisa kalahin combo top ingame masuknya lama,negative
nerf nya makin parahjhony terutamaudah sinergi makin dipersulitmalah sih jhony yang di nerf moonton waras bakal balik lagi tidak akalnya,negative
balikin commandar tharz seperti dulu sekarang tharz comandar paling sampah,negative
jangan kebanyakan dark sistem,negative
terlalu leg saat awal masuk arenatolong monton game nya di perbaiki lagi,negative
tolong tambahkan mode lain sepertiduo yang nyawa nya di gabung jadi dan tambahkan mode triosquad agar lebih serudan tolong tambahkan mode untuk seru seruan dan tambahkan beberapa sinergi seperti riders undead abyssangle knight hero,negative
game yang selalu membuat saya emosi setiap saya mau main selalu game nya bug sudah saya mulai game nya tetapi malah keluar lagi di suruh gas lagi saya sangat emosi bermain di game satu ini tolong di perbaiki game nya supaya orang lain betah main di game ini tapi saya sudah hapus game ini karena sudah lever saya main dari lever sampai sekarang bug selalu game tolong di perbaiki saya kasih bintang karena saya tidak suka atas perilaku di game koneksi nya tolong di perbaiki,negative
game aneh saya jadi korban entah itu bug sistem atau cheater dan tidak ada tindakan tegas dari developer balasan customer service sangat lama dan saya juga tidak mendapatkan kompensasi apapun setelah dirugikan,negative
hero nya pada chibi tapi saya ingin ada cici novaria chibi,negative
mencari hero saja susah nya kebangetan,negative
game match lama orang deh rela waktu nya habis buat main game lu giliran main di kasih nya tidak sesuai synergi kontl,negative
mc bodoh game tidak imbang,negative
tolong hero frangko di hapus saja mengesalkan tahu,negative
nerf moskov plis broken parah,negative
tambah parah sekarangtambah tidak jelas combonya tidak ada yang masuk akalmenang sekali kalah sepuluh kalisusah mencari hero yang dibutuhkan buat nyalain sinergi meminta saran hapus commander wan wanmiya sama sinergi listrik sampah itu,negative
tidak jelas nolan bintang kalah sama argus bintang guwendenk,negative
mantap main dari synergy wermslayer ling unlimited ulti,negative
game play bagus sih cuman event tambahkan jangan ke ikut monton kikir,negative
monton tambahkan item star fall,negative
game busuk banyak kecurangan nya,negative
kukasih bintang dulu untuk developer tolong sekali perbaiki masalah sinyal error padahal sebelum season sinyal masih dibilang lancar tidak ada masalah tapi setelah update sih masalah koneksi terus saat mau masuk game padahal sinyal bagus bahkan untuk ganti akun saja tidak bisa karena kesalahan koneksi tolong sekali di perbaiki secepatnya,negative
seru seruan ajabukan pro player,negative
game taiii wake bantug terus bang cicing,positive
maaf saya kasih bntng karena waktu mcgg di rilis semua nya tidak ada masalah apa lagi ke sinyal nya tapi semenjak di updte mcgg jadi ssh buat login padahal jrngn saya baik baik saja sudah di ganti pakai data seluler sama wifi tetap sama ssh sinyalnya tlong lah dprbaiki lagi sinyal nya jangan sampai masalah seple seperti ini bkl mngecewakan plyer yang mau main dari segi gameplay sudah bguss cuman sinyal jadi tolong dprbaiki lagi,negative
game anjeeeng kalau membuat conander yang ngotak bangsaaat monton benerin tuh jhonson,neutral
apalah game ini saya restart game malah suren bukanya menyambung lagi ke gamenya,negative
maaf mau tanya kemarin saya main waktu sih enak lancar dan aman tapi semenjak update kemarin kenapa di saya waktu ini game itu seperti framekualitas paling rendah padahal paling tinggi dan coba saya turunkan malah parah saya hapus donload ulang tetap sama saja enggak ada perubahan saya coba main game mbllmla wor semua aman loh tidak frame dan itupun menggunakan yang paling kanan kualitasnya,negative
game ini sudah cukup menarik untuk saya dan dari segi permainan itu juga lumayan bagus dibanding dulu,negative
sinyal jumping mulu game aneh padahal sinyal lancar membuat tidak mod main,negative
grafiknya jadi kurung sama yang lama,negative
woi hapus commander jongson dari game ini perusak meta,neutral
sama seperti ml sama game anjeng game baby,positive
makin kesini makin tidak jelas naik legend saja susah ada saja halangan hero sering gadikasih lah aitem jelek semua lah kagak jelas skip,negative
suaranya kadang hilang koneksi tidak stabil,negative
kasih bintang saja gaem nya jelek lag terus setiap main,negative
kocak update terbaru,neutral
game sampah roll tidak dapatdapat yang dicari aneh sinergi tidak seimbang sungguh mengecewakan,negative
game sempak habis update pembagian hero item kagak jelas moskov jadi tier hero terop yuzhong jadi hero star tidak guna apalagi saat last game jelasjelas hero masih banyak di shop tapi sampai coin habis tetap tidak dikasih itu hero,negative
habis update kemarin kok menjadi tidak jelas kalau beruntung hero bintang di slot sudah pada muncul kalau apes di slot saja susah sekali dapat hero bintang saya main sisen kemarin sampai mitic sekarang boro ke mitic naik ke legend saja susah sekali koneksi ya seperti jmbttt kusut sekali wifi ok koneksi data telkomsel tidak ngaruh tetap lag entah lag atau bag ganggu sekali apa lagi saat memilih kartu atau saat ambil box lag deh kelar dapat yang ampas,negative
kemampuan commandernya tidak adil seperti wanwan lebih di untungkan,negative
gangguan terus enggak beres tiap kali gameplay gangguan,negative
main enak dulu sekarang di persulit enak kembali ml lagi,negative
kenapa sering ngleg tolong perbaiki,neutral
sinyal tidak jelas selalu muter tidak jelas padahal sinyal lancar saya pancing yutuban tidak ada kendala balik lagi ke mcgg malah tidak waras bagaimana mau menang kalau mcgg sinyal burik,negative
nice bang monton,positive
game membuat emosi game nya enak yang dulu ini main padahal menggunakan wifi dan wifinya lancar tapi gamenya ngelaq menghubungkan mulu game rusak kalau update itu harusnya menuju yang lebih bagus ini malah membuat emosi tambah jelek,negative
sekarang kalau ponsel tinggal sedikit pasti kalah meskipun kalau di lihat gero sama damage lebih gede tetap saja kalah tidak bisa comeback sama sekali,negative
parah setiap habis updet eror enggak bisa gerakin hero sama sekali kalau memang ponsel nya knapa yang lain lancar cuma saat match mulai hero enggak bisa di gerakin payah payah saya hapus juga nih mc gog gog,negative
tidak paham sama ini game dari epic naik ke legend saat di legend posisi di ranked legend xi terus kita menang sampai di legend v saya bingung kok menang bukan naik malah turun begitu eh yang kocak sudah legend v mengira menang langsung ke mhytic ini malah balik ke legend iv lagi apaan coba asli tidak mengerti saya memang legend sekarang sampai begitu auto delete game buang waktu,negative
rusak nih game kesalahan koneksi mulu padahal koneksi bagus lumayan banyak juga yang rating bintang,negative
nerf moskov blog atau tidak hapus saja,negative
tolong dong update biar tidak susah heronya sering stuck dan kalau mau menang itu beruntung hokian tolong sistemnya diperbaiki biar sportif semua dibagi sama ratakan susah setelah update cari heronya,negative
sistem gacha hero nya goblok,negative
game sudah sangat bagustapi yang buat kesal selalu lag dan tibatiba ketika di dalam permainan langsung restartlagi nyaman pilih hero tibatiba keluarpadahal koneksi saya enggak bagustapi kenapa selalu lag ayo dong perbaikimasalah jaringannya,neutral
tolong devoloper di kurangi dikit data data nya kasihan buat yang ponsel ram kecil nya seperti saya ini dan ada masalah lagi tentang sinyalserver padahal sinyal nya bagus menggunakan wifi tapi tetap saja enggak bisa mainsetiap pertandingan di temukan tibatiba ngestak jadi enggak bisa di mainkan terima kasih,negative
kurang ini dark sistem nya bos,negative
lag bug,neutral
game nya bagus tapi tolong kedepannya untuk mode custom tidak perlu pakai data lagi terus tolong tambahkan mode offline dong,negative
ok sudah keren maksimal,positive
megic cheas go go sekarang makin parah ngebuk mulu kalau main padahal pertandingan nya sudah selesai malah kembali bertanding lagi,negative
tolong solusinya buat player yang ngechettadi saat main padahal juara satu tahu tahu close game sendiri dan jadi peringkat player yang main cuma padahal di awal dan tidak ada histori pertandinganini kalau bisa kirim file sudah ku kirim screenshotnya tadi,negative
perbaiki bug nya saya harus nya juara malah jadi juara,negative
sudah ok tinggal slot nya saja tambahkan jangan empat ya minimal lima lah,negative
saat bermain rank dan menang peringkat pertama ketika pertandingan selesai ada note eror lalu keluar aplikasi sendiri setelah masuk kembali seharusnya naik bintang ini malah turun bintang nya nohon penjelasan nya,negative
tolong dong magic chess menjadi game offline plis jadi biar rame yang dowload,negative
game enggak jelas lag sendiri woi perbaiki kenapa,negative
bintang saja tidak ada bagusnya,negative
seru sekali game iniapalagi main bersama teman,neutral
pliss lah waktunya diperlama sudah dapat eruditio langsung kalah,negative
saya menang bntang tidak menambah bagaimana ini montoonnnnn,negative
moonton kalau dikit lagi bintak tiga tolong jagn di persulit,negative
game eror mulu harusnya peringkat malah jadi ke malah turun bintang tolong perbaiki bug eror ini game tidak jelas,negative
bagus sih game nya tapi sering lag terus muncul error padahal mau menang bintang segini dulu kalau sudah diperbaiki baru bintang,negative
di bawah tier mytic saya sering sekali kena bug ini misal saya menggunakan comander bintang otomatis musuh juga pasti comander bintang disini masalahnya tiba tiba ada musuh yang comander nya tidak bintang orang ini pakai comander bintang di awal game nya masih lancar seperti main biasa tapi tiba tiba saat mau menang game nya keluar sendiri ke loby dan disitu saat saya cek di history history nya tidak sama seperti game tadi tapi nickname dari semua musuh sama,negative
game gjudh menang juara satu malah ngurang bintangini awalnya saya mabar sama teman terus koneksi gue sama koneksi teman gue errortapi malah berbeda serverawalnya mah biasagamnya sudah bagus tapi tolong di perbaiki game nya,negative
dawnbringer sudah sangat op eh malah di buff enggak moontonn,negative
bug moonton apalah cokk,negative
game rusakmatch sudah selesai malah masuk loading lagigitu terus sampai hari,negative
bintang saya kagak menambah jmembik,negative
masih ada bug nya mohon di perbaiki tidak tahu harus bagaimana stack di loading game nya,negative
masa saya main sudah menang tidak dapat bintang itu bagaimana sih di history tmn saya yang mabar sama saya masih ada gameplaynya tapi nama saya keapus histori saya juga ke riset yang awalnya juara di history tmn saya malah juara dan juara nya ada jadi total yang main cuma orang niat ngelepasin stres malah tambah stres hadehh bagaimana sih muntun,negative
game tolol bug tidak jelas keluar sendiri,negative
game sering error masuk keluar masuk keluar walau gontaganti koneksi,negative
saya menang tapi tidak naik hapus nih game nya tidak jelas,negative
monton mcgg lo ada bug saya tadi main awal tidak ada masalah sampai terakhir saat sudah vs hampir menang tiba tiba saja saya dc disconet saat saya reload lagi malah masuk ke pertandingan sebelumnya match lain sampai terakhir saya tunggu sampai selesai eh saat selesai langsung masuk lagi dong ke yang terakhir tapi nih ya nunggu sampai tidak mau masuk sampai beri tahu saya ini bug atau ponsel saya yang rusak atau chit sudah pernah kejadian sebelumnya juga sudah ke kali nya hal ini,negative
parah padahal menang nomor tapi bintang turun bagaimana sih monton,negative
game nge bug gameplay nya ada yang enggak kehitung di tambah ada masalah pada koneksi koneksi,negative
setiap main sekarang tiba² eror tidak diketahui dan berubah gogo card sama heronya saya kecewa sekali,negative
game tidak jelas login malah stuck di loading ini game sudah relog tetap stuck terpaksa hapus penyimpanan gemenya sampai mau hapus nih aplikasi juga nya juga,negative
sering sekali lag sama sinyal tiba menghilang tolong di perbaiki,negative
tidak jelas sudah win posisi tiba tiba ada notif error tidak diketahui saat dicek riwayat tidak ada riwayat match sebelumnya aneh wkwk,negative
game rusak sering lag eror pula,neutral
tolong perbaiki sistemnya saya sudah memenangkan pertandingan nomer tapi bintang tidak ber tambah sama sekali tolong di tinjau,negative
aneh hari ini eror terus sampai capek relog enggak jelas,negative
ini kenapa sih kok jadi error begini mcgg lagi enak enak main tiba tiba ada bacaan error tidak diketahuisilahkan coba lagi nanti sudah relog berapakali tetap saja muncul seperti begitu terus,negative
game broken tiba terputus saat balik lineup sudah berubah,negative
terjadi eror di sistem saat saya main tiba tiba keluar saat masuk lagi stak di masuk ini game,negative
kali barusan pakai nana bug ta,negative
game bug ngerank tidak menambah gaj ada history nya,neutral
game banyak bag,neutral
lu lagi ngapa mcgg ada citer masa saya di suruh relog terus terus saat sudah relog masuk ke pertandingan itu itu terus,negative
game tidak jelas tahu tahu afk sudah afk sekarang stak tidak bisa masuk,negative
banyak bug masih main tiba sistem error kalah sendiri masih tetap tidak diperbaiki bug ini sudah mau menang malah force close masuk lagi tiba kalah sendiri,negative
balikin mc seperti dulu moonton yang terhormat sudah sistemnya suka down server belum lagi suka bug machmaking,negative
game nya mulai sering error setelah pembaruan tidak bisa di buka makin ke sini makin tidak jelas,positive
ada cheat ah malas masa harus keluar mulu giliran musuh ws mulu sudah ke jadi ke games apaan,negative
server eror waktu masuk lagi hero di jual semua sama bot bagaimana ini membuat tidak mood game selesai masih ada bug servernya rilog tetap masuk dalam pertandingan dan stack di loading,negative
aplikasi enggak jelas,negative
kok begini gamenya error eror mulu keluar terus padahal koneksi lancar ayolah kasihan nih pada mau menang malah error mulu,negative
game nya error saya sudah menang peringkat tapi saat menang malah error dan bintang saya tidak di hitung,negative
game kau kenapa moonton sudah ada cit saja room yang tiba down,negative
saya main tadi sudah menang tapi kok ada tulisan error saat relog saya cek history kok malah juara ini musuh yang cheat atau nge bug tolong lah fix bug atau kalau cheat lu ban saja,negative
menang tapi di hitung kalah wkwkwk,neutral
terdapat bug dimana ketika bermain tag team dan berada di sekitar pertengahan game mengalami eror kami match terkena bug yaitu dengan tertukarnya gogo card dan mendapat hero random bahkan saya tidak bisa masuk ke matchnya lagi tolong diperbaiki lagi agar ekosistem game ini terjaga terimakasih,negative
sudah menang ke malah ngurangin bintang lagi seharus menambah malah ngurangdan saudaraku yang kalah duluan malah naik bintang nya bagaimana ini,negative
barusan saya pushrank dan diditu notif eror terus taunya update dan saya berusaha untuk login terus biar bintang tidak turun dan bisa main sampai juara walaupun eror realog terus tapi kenapa malah bintang saya berkurang padahal ssya juara bisa di jelaskan,negative
why ngecrash why aneh go go card bisa berubah dengan sendirinya ketika ngecrash merusak line up saja entah kenapa apa ada yang nge cheat enggak tahu juga lawak kali,negative
ini bagaimana konsep nya saya main renk di epik bintang malah turun ke bintang padahal saya jadi yang pertamas loh harusnya naik ke epic bintang kalok tidak bimtang loh,negative
gam bosokkkk,neutral
sudah main permainan menang tapi tidak ada historinya,negative
main rank nomor bukan naik bintang malah turunmau laporin bug di customeer service unggah ftonya lama tolong diperbaiki,negative
saat main masih stage awal tiba tiba koneksi error reload dari awal begitu seterusnya sampai kali game asw akhirnya saya uninstall,negative
apaan game rusak masa sudah main dan mau menang tiba tiba ke relog padahal sudah masuk posisi besar tiba tiba ke dan yang kalah tiba tiba main lagi dan saya ada buktinya sudah screenshot,negative
eroorrrrr skarangtiba tiba login ulang terus posisi dan sinergi tidak sama,neutral
sudah mau menang tiba tiba ada eror dan hasil pertandingan tidak di masukan ke riwayat bug tidak jelas sekali musuh di untung kan sekali seperti begitu,negative
gamenya bug terus sudah mau menang malah keluar sendiri,negative
game tiba tiba keluar login selesai gamenya cek history sama peringkat buang waktu menit menit cuman peringkat ke,negative
sudah hastag harusnya bintang malah bintanya eror apa bagaimana ini,negative
anehhh saat sementara main dapat notif eror katanya ada pembaharuan sistem truss game jadi ke restart habis itu star enggak menambah padahal sudah dibabak² akhir mohon diperhatikan kasihhh bintang dulu ya,negative
game pekok,positive
kebanyakan eror sistem saya main bentar mengulangi dari awal,negative
magic chess gogo bug nih bagaimana,neutral
sistem eror,negative
masih banyak error barusan main guinevere tiba error balik masuk game malah sudah di permainan lain kelihatan maksain membuat mcgg,negative
game tidak jelas lagi menang malah error lawak,negative
kenapa eror malah login ulang terus,negative
woii developer kenapa nih gamegue main tadi sudah mental kali bhkan mau kali dan tidak bisa main lagi setiap login mental terus benerinlah mau ngepuss malah seperti begini capek dahcukupdahsemoga cepat berkembang nih gamegak ada bug bug lagi ceh,negative
kok bisa biasanya cheater tidak ke ban woi saya stuck ke match itu terus padahal main sinergi yang benar malah keganti semua,negative
min ini setelah buffnerf comander dll kok sistem nya error saat main kadang tb tb ada tulisan error tidak diketahui langsung di suruh relog mulu,negative
sudah pasti win malah mental update kocak tiba keluar dari game kocak,negative
apa apaan deh game ini kena notif masalah sistem tapi tahu tahu relog game malah ponsel commander deh sekarat line up sama sinergi berantakan kecewa saya main game ini,negative
bisanya kena error langsung force close saat login lagi sudah lose padahal di view yang lain masih main,negative
tiba tiba sistem eror tidak diketahu didalam macth membuat tidak nyamandan relog seperti begitu terus,negative
game rusak pertandingan eror masalah yang tidak diketahui malah pringkat player cuman kenpa tidak di pertahankan bintang salah server yang rugi pemain sudah beberapa kali begini,negative
game buruk sering eror banyak bug,negative
sangat sering terjadi error waktu sedang dimainkan,positive
kenapa bug lagi deh lagi asik main tiba eror hero yang di pilih ke ubah semua,negative
game yang tidak bagus sistem koneksinya jelek signal bagus tapi lag tidak jelas,negative
why magic chess update is not notified or i meet cheater i sama playing ini the game repeating continuously until i cant enter,positive
tiba keluar aplikasi sendiri lalu pertandingan di buat kalah dan padahal tadinya darah masih an,negative
anehh sekali saat main hero keresett tolong di perbaiki terima kasih,negative
kacaw nih game sudah mulai eror suka keluar sendiri terus menerus,negative
eror tidak diketahui penyebab apa tiap main eror,negative
game pauk game eror,positive
game sudah bagus cuman sayang sekarang sering error sistem tidak di ketahui,negative
tolong di perbaiki saya tereloq kali sinergi saya teubah semuaa,negative
game rusak tidak jelas bisa main langsung eror memang game jelek ini,negative
banyak terjadi bug ketika bermain mending mc yang dulu daripada yang sekarang,negative
game kadang bugpas main dapat go card bagus tiba tiba keluar saat masuk berubah lagi card nya terus hero nya menjadi kurus lagioptimalin lagi lah membuat malas saja,negative
kasih bintang dulu karena masih banyak yang harus di tingkatkan terutama koneksi,negative
biji lembu eror apasi saya lagi asik main mana kartu dia acak keulang lagi hero saya kalau eror tutup sistem monton bukannya kacaukan,negative
kenapa error mulu,negative
minimal kalau update alias maintenance itu mbok ya kasih peringatan dahulu lagi serius main di error ini mulu game monton tidak ada yang benerkoneksi burik pembagian heroequipment tidak adil satu lagi hero yuk zhong hapus saja hero gold kok ampas,negative
