clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
cocok untuk abang abang yang sering jaga warung,negative,negative,positive,neutral,neutral,positive,positive,positive
jelek sekali game nya hero jarang sekali dapat yang di mau banyakan menang beruntung doang,negative,positive,negative,negative,negative,negative,negative,negative
koneksi ini game lag parah,negative,positive,negative,negative,negative,negative,negative,negative
game rusakk lag mulu padahal pakai wifi,neutral,positive,negative,negative,negative,negative,negative,negative
season ini saya setuju dengan yang lain saat war besaran ngleg meminta ampun cuma itu saja sih sisa nya mantap karena ada sinergi hero komander item baru suka sekali sih,negative,negative,positive,positive,neutral,positive,positive,positive
sangat bagus mirip mlbb grafiknya juga bagus,negative,negative,positive,positive,neutral,positive,positive,positive
walaupun mystic bintang tapi sekali season turunnya langsung terjun bebas sampai epic bintang mantap,negative,negative,positive,positive,neutral,positive,positive,positive
sinergi vonetis tolong mengadakan lagi dong,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
game tolol tiba tiba menghubungkan ulang kali pula padahal wifi nya tidak ada yang bermasalah,negative,positive,negative,negative,negative,negative,negative,negative
terimakasih atas perbaikannya sekarang ku kasih bintang,negative,neutral,positive,positive,neutral,positive,positive,positive
tidak adil game nya susah dapat naik level hero nya,negative,positive,negative,negative,negative,negative,negative,negative
setiap matchmaking selalu hilang koneksi selalu stuck padahal sinyal bagusmohon diperbaiki moonton,negative,positive,negative,negative,negative,negative,negative,negative
mohon di tambahkan mode praktice,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
game nya boros kuota jangan di download masa baru beli kuota gb langsung sisa gb aneh ini game jangan mau ditipu game ini,negative,positive,negative,negative,negative,negative,negative,negative
kalau mengasih heroo itu yang adill,negative,positive,negative,neutral,negative,negative,positive,negative
dari siang main sampai sore di kasih seset hero nya padahal sudah benar mencari hero gold di level dan juga tidak atau game saja di kasih seset sudah hampir game,negative,positive,negative,negative,negative,negative,negative,negative
sudah bagus bagus sih nih game sih jadi seperti sampah jelek sekali kacau balau game terjelek yang pernah ada,negative,positive,negative,negative,negative,negative,negative,negative
capek nuk turun saja lawannya cuman sistem saja hero banyak enggak dapat kalau enggak diambil kalau memang sudah di habisi bbk berikutnya kalau mau buat game yang benar dong sekalian saja offline jangan lawan sistem saja kami yang main mending balek lagi ke ml yang dulu enggak usah go go go yang nahk jelas ini,negative,positive,negative,negative,negative,negative,negative,negative
game tidak masuk akal sinergi kalah sama yang atau yang belum jadi,negative,positive,negative,negative,negative,negative,negative,negative
benerin sistem roll an dong ngerugiin sekali padahal enggak ada yang main sinergi yang sama jadi sering kalah karena dapat roll an ampas,negative,positive,negative,negative,negative,negative,negative,negative
keren enak untuk salto,neutral,negative,positive,positive,neutral,positive,positive,positive
jelek alogaritmanyapersis ml,negative,positive,negative,negative,negative,negative,negative,negative
gogo bagus mirip seperti yang dulu,negative,negative,positive,positive,neutral,positive,positive,positive
game nya tidak jelas sekali menang seterusnya nya lose treak hero sunergi jarang kluar,negative,positive,negative,negative,negative,negative,negative,negative
setelah sih game nya semakin tidak balance sinergi max susah seakli untuk didapatkan padahal katanya jadi lebih mudah,negative,positive,positive,negative,negative,negative,negative,negative
tolong moton haya busa ultinya di ganti,negative,positive,neutral,negative,negative,neutral,neutral,negative
apaan ini tidak ada alucard nya bintang satu,negative,positive,negative,negative,negative,negative,negative,negative
sinyal jringan bagus sinyal wifi kencang tapi kenapa ya kok tiap mau main sering ggal sambunganhmmm game yang lain nya lncar enggak ada kendala aduh jadi bintang dulu,negative,positive,negative,negative,negative,positive,negative,negative
tingkat kegoblokkan sejati adalahketika kasih buff ke hero dountlessya rame lagi lah roll bawahplayer otak yang tidak ada experiment nyabosen,negative,negative,negative,negative,negative,negative,negative,negative
sinerginy jelek semua yang sih tidak seperti sih,negative,positive,negative,negative,negative,negative,negative,negative
semakin turun kualitas game nyaserangan jadi tidak jelas malah seperti game rusak karena seranganya berlebihandan di tambah lagi sering lag parahpermainan game semakin buat sakit mata karena tidak jelas mana serangan satu persatu heroklo segi serangan lebih baik game yang dulu karena setiap hero menyerang pasti jelas serangan nya terlihat dan tak terlalu cepatklo sekarang baru mulai langsung entah yang serang hero mana lalu hero kita matirating pembaruan kali nih turun kualitas nya,negative,positive,negative,negative,negative,negative,negative,negative
woi monton saya dwolod menggunakan kuota kok dua jam tertunda mulu membuat emosi,negative,positive,negative,negative,negative,negative,negative,negative
tolong di perbarui lagitelalu cepat detik untuk memilih hero dan durasi ketika mau beli hero tiba² game nya sudah mulai fighttolong di perbarui lagi kerusakan sistem nya,negative,positive,neutral,negative,negative,negative,neutral,negative
monton kenapa tidak ada mode practice nya tolong di adakan mode practice nya,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
kadang mencari hero yang dicari susah sekali tidak muncul muncul padahal yang hero gold nya sama muncul melulu,negative,positive,negative,negative,negative,negative,negative,negative
game jelek jangan di download,negative,positive,negative,negative,negative,negative,negative,negative
gamenya sudah bagus cuman jika ada fitur mengatur konten manual seperti ml akan lebih baik dan bagus kalau sudah ada rating saya naikin,negative,negative,positive,neutral,neutral,positive,positive,positive
bosan jumpa comander miyawanwan tidak seru,negative,positive,negative,negative,negative,negative,negative,negative
monnnnnnnnntonnnn kasih saya skin colector gratisss,negative,negative,positive,positive,neutral,positive,positive,positive
apalah kebanyakan pembaruan tapi masalah koneksi tidak bisa reload masih saja sama padahal koneksi bagus tapi tetap mengubungkan kembali,negative,positive,negative,negative,negative,negative,negative,negative
game cuki,positive,negative,positive,negative,negative,negative,neutral,negative
tiba lag relog tidak bisa sudah kali kalau sudah di fix tambahkan rating nya besok tidak jelas padahal sinyal aman menghubungkan ulang terus,negative,positive,negative,negative,negative,negative,negative,negative
game rusak padahal sinyal stabil tapi loading terus sudah kali afk,neutral,positive,negative,negative,negative,negative,negative,negative
game nya seru tapi stuk di saat mau login game,neutral,positive,negative,neutral,negative,negative,negative,negative
gblg menghubungkan mulu game anjg,negative,positive,negative,negative,negative,negative,neutral,negative
koneksi bagus pakai you tube lancar bisa bisanya menghubungkan pakai main magic chess game lain juga lancar saja game tidak jelas,negative,positive,positive,positive,negative,positive,positive,positive
sering server putus padahal sinyal bagus,negative,positive,positive,negative,negative,negative,positive,negative
kalau membuat game cuma emosi jangan di membuat itu game koneksi stabil tiba lag mrnghubungkan ukang terus tidak bisa masuk penyakitmu dimana player dpat combo bagus pasti di persulit ntahhero susah di tmukan kag dll membuat game pakai otak kenapa,negative,positive,negative,negative,negative,negative,negative,negative
update buruk sering keluar permainan sendiri saatsaat terakhir sangat merugikan dan sangat buruk,negative,positive,negative,negative,negative,negative,negative,negative
kalau siang sering bug koneksi tiba koneksi tidak ada padahal sinyalnya banyak,negative,positive,negative,negative,negative,negative,negative,negative
go go pass mengapa skin comender skin cheesboard lah gogo pass itu buat apa skin comender atau skin comender dan cheesboard baru bagus seperti pubg,negative,positive,positive,negative,negative,positive,positive,positive
tolong bannednya diperbaikin biar yang banyak diban,negative,positive,negative,negative,negative,negative,neutral,negative
game nya tolong diperbaiki dong masa tidak bisa dipencet sama sekali selama di game mau beli hero saja seperti susah sekali di pencetnya,negative,positive,negative,negative,negative,negative,negative,negative
season makin anehsaya mau main sinergi astro tapi hero dari sinergi astro tidak muncul² mpadahal yang main sinergi astro hanya saya,negative,positive,negative,negative,negative,negative,negative,negative
saya kasih bintang sjasebab game ini setiap update selalu berubah isinyajd harus belajar dan belajar lagisebenarnya bagus ini gametapi jika perubahan terus setiap updatejadi membuat player bingung,neutral,positive,positive,positive,negative,positive,positive,negative
game tergantung sama beruntung kalau rol busuk ya tusun mau main sinergi yang mau malah kagak keluar heronya kan,negative,positive,negative,negative,negative,negative,negative,negative
game mu bosok saya tak ntok elek teros ojo do dolanan iki broo bosokkk polll,neutral,positive,negative,negative,negative,negative,negative,negative
game tidak jelas sudah main berkali kali roll tidak jelas orang lain dikasih hero giliran kita tidak dikasih enggak usah download game ini unistall saja tidak jelas moonton memang ml team beban semua mc enggak membanyaki promosi game burik seperti begini,negative,positive,negative,negative,negative,negative,negative,negative
kasih lawan yang seimbang lah,negative,negative,positive,negative,neutral,negative,positive,positive
gold nya tidak terus lag parah mending mllbb yang dulu main nya ngada kendala yang,negative,positive,negative,negative,negative,negative,negative,negative
ponsel saya tidak kuat tolong membikin versi lite,negative,positive,negative,negative,negative,neutral,negative,negative
algoritma store hero lu busuk,neutral,positive,negative,negative,negative,negative,negative,negative
game kintil lama tidak ngotak tidak balance sama sekalijhonson sudah dapat sinergi tambah damage nabrak terlalu besar,negative,positive,negative,negative,negative,positive,negative,negative
jir shop nya kacau padahal roll di level tapi harga paling susah keluar jit,negative,positive,negative,negative,negative,negative,negative,negative
sialan main rya dapat blessing tidak bisa di atur blessing yang sudah benar di ganti yang tidak benar tidak bisa di ganti rubah lah fitur nya jadi tidak guna tuh rya,negative,positive,negative,negative,negative,negative,negative,negative
game tidak jelas dowlond data lama membuat crash ponsel sudah begitu nyedot banyak kuota sampai gb sudah keluar dari aplikasi sama saja masih nyedot kuotanya,negative,positive,negative,negative,negative,negative,negative,negative
woi depeloper yz revamp lah tidak guna sekali ultinya jalannya kotak enggak jelas tolong revamp,negative,positive,negative,negative,negative,negative,negative,negative
ngabisa login lewat pihak ketiga duh parah padahal game gede,negative,positive,negative,negative,negative,negative,negative,negative
battle point di samakan saja dengan mlbb atau bisa di transfer,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
pindah sini dulu di ml losestreak terus mc enggak keren sih,neutral,positive,negative,negative,negative,negative,negative,negative
gamenya memang susah apa saya yang skill issue ya,negative,positive,negative,neutral,negative,negative,negative,negative
game ampas tiap mau late game malah buffering mulu mending lu perbaiki daripada kebanyakan ganti ganti sinergi,negative,positive,negative,negative,negative,negative,negative,negative
saya ralat ini koneksi kenapa bug deh saya lagi main malah lag enggak jelas padahal buka aplikasi lain baik² saja,negative,positive,negative,negative,negative,negative,negative,negative
nerf johnson dong gila sudah nabrak areanya gede skill pun ikut area johnson bintang dawnbringer sudah kelar gamenya deh pasti kalah,negative,positive,negative,negative,negative,negative,negative,negative
semuanya sih sudah ok ok saja menurut gue tapi gue berharap ditambah fitur mode offline sih kalau lagi enggak ada kuota bisa main nih game meskipun lawannya computer seperti ml tapi itu saja sudah seru sudah itu saja,negative,negative,positive,neutral,negative,positive,positive,positive
sangat buruk ping tidak stabil,negative,positive,negative,negative,negative,negative,negative,negative
php doang tinggal magic cristal hero enggak dikasi sampai akhir,negative,positive,negative,negative,negative,negative,negative,negative
tolong jam atau mc tutup dan buka jam pagi karena kawan saya ada yang sawan main mc nidia begadang terus dan sekarang dia masuk rumah sakit dan stres sekian terimakasih,negative,positive,negative,negative,negative,negative,negative,negative
gemenya seperti biasa tidak mengecewakan tapi kenapa hayabusa di hapus whyy,negative,negative,positive,negative,negative,negative,positive,positive
sangat mudah untuk dimainkan dan gampang dipahami starteginya,negative,negative,positive,positive,neutral,positive,positive,positive
tolong lah moonton orang keluar dikasih menang bagaimana sih menggunakan wifi ngelag² harus menggunakan data baru jadi tolong di check dan di perbaiki sistemnya,negative,positive,negative,negative,negative,negative,neutral,negative
tidak pernah benar² di kembangkan hanya evant saja yang di pikirkan,negative,positive,negative,negative,negative,negative,negative,negative
mau mencoba nih,negative,neutral,positive,neutral,neutral,positive,neutral,positive
tamah tidak jls lebih seru yang dulu,negative,negative,negative,negative,negative,positive,negative,negative
aneh sekali deh astro saya bug sue,negative,positive,negative,negative,negative,negative,negative,negative
mantaapp saya suka setelah up date season,negative,negative,positive,positive,neutral,positive,positive,positive
top up kagak masuk masukchat cs juga kagak mau follow up,negative,positive,negative,negative,negative,negative,neutral,negative
kurang seru sekarang mencari cristalnya susah hero harga tidak ada damage srlain moskov doang comander ngebosenin cuma bisa satu komender satu ultikalo seperti dulu bisa ulti seperti comander ling ada ling ultinya enak tinggal pilih tidak bisa berinovasi susah mencari hyper nya yang mau dijadikan tolonggggg lah dibuat perubahan seperti awallll,negative,positive,positive,negative,negative,negative,negative,negative
apa sih game enggak jelas masa cost kalah sama cos enggak jelas aplkgi odet astro sudah gila ini game tolonglh di fix cpe cpe naikin commander kalah sama yang roll bwh najis nih game,negative,positive,negative,negative,negative,negative,negative,negative
kalau tereliminasi otomatis langsung keluar jangn beralih ke mode penonton,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
saya lagi main rank posisinya saya lagi menang terus saat lagi tanding saya tidak tahu itu bug atau cit tiba tiba hero hayabusa saya yang level dua ngilangin tiba tiba terus saya cek kartu dia energi apa dia pakai tolong ya monton posisinya saya lagi push global loh,negative,positive,negative,negative,negative,negative,negative,negative
gamenya seru tapi buat emosi yang pemula atau yang masih rank gm dan master,negative,negative,positive,neutral,neutral,negative,positive,positive
habis update malah makin jelek koneksi nya main pakai wifi saja lag tidak ketolong ml yang biasa saja normal maintapi ini malah jelek lag,negative,positive,negative,negative,negative,negative,negative,negative
menit baru bisa main hadeh,negative,positive,neutral,negative,negative,negative,neutral,negative
malas sekali kalau mau loding scren tidak jadi mulu,negative,positive,negative,negative,negative,negative,negative,negative
dari saat magic chess masih di mobile legends saya sudah beli commander nya dan sudah naikin level commander hingga level tapi pada saat dipisah magic chess nya sudah berbeda dari yang dulu commander nya yang sebagian sudah saya beli harus dibeli kembali dan saya harus ulang lagi untuk meningkatkan levelnya jadi saya hanya komplain soal itu dan yang lain masih sama seperti dulu seperti map tapi saya sedikit kecewa karena saya sudah berusaha untuk menaikkan levelnya tapi harus ulang lagi,negative,positive,negative,negative,negative,negative,negative,negative
server bagusin lagi montonmasa lag begini mainmain yang lain lancar jaya setelah update busuk,negative,negative,negative,negative,neutral,positive,positive,negative
oi moonton kenapa hari ini koneksi susah di game kalau buka youtube sama aplikasi lain termasuk pubg lancar saja tolong dibenahi kalau sudah bagus saya ubah lagi ratingnya,negative,positive,negative,negative,negative,negative,negative,negative
geem lag saya main ml hijau kolo main megices merah hapus saja megices balikin megices yang dulu moy monton sudah lag berbeda,negative,positive,negative,negative,negative,negative,negative,negative
diseason saja mencari hero bintang buat jadi ke lvl saja sulit ini season malah ditambah hero dan sinergi jadi tambah susah lagi sedangkan ngeroll saja butuh gold,negative,positive,negative,negative,negative,negative,negative,negative
ram masih banyak tetap juga keluar garena bagaimana niiiiiii deh grafik rendah masih keluar nih masalah apa sih,negative,positive,negative,negative,negative,negative,negative,negative
game tidak real,positive,positive,negative,negative,negative,negative,negative,negative
tolong di cek lagi item skywrath spear damage nya sakit parah semua hero sekarat kena damage nya damage nya keterlaluan selebihnya bagus,negative,positive,negative,negative,negative,negative,negative,negative
game tahi ngandelin beruntung,positive,negative,positive,negative,negative,negative,positive,negative
download pertama kali bagus koneksi lancar dan menang terus tapi kenapa semakin lama main nya kok lelet btl padahal koneksi ku bagus tolong di perbaiki gema ini,negative,positive,negative,negative,negative,negative,positive,negative
lag parah padahal koneksi baikaja,negative,positive,negative,negative,negative,negative,negative,negative
jangan pelit hero lah anjing,negative,positive,negative,negative,negative,negative,negative,negative
game toloolllll tidak di kasih menang,negative,positive,negative,positive,negative,negative,negative,negative
salam dari saya,negative,negative,positive,neutral,neutral,neutral,positive,positive
jelek kurang hd,negative,positive,negative,negative,negative,negative,negative,negative
damage jhonson tidak jelas puqi,negative,positive,negative,negative,negative,negative,negative,negative
game nya sangat bagus saya suka tolong beri skin ling colector satu hehehe,negative,negative,positive,positive,neutral,positive,positive,positive
maaf saya uninstal kurang nyaman selalu nge buglag dan crash udan di lapor sama cs malah menyalahkan koneksi saya padahal koneksi dan ponsel saya bukan kentang terima kasih,negative,positive,negative,negative,negative,negative,negative,negative
makin jelek ajagimana mau naik ke legend ke mitikkoin ngerol saja tidak dapat heronya,negative,positive,negative,negative,negative,negative,negative,negative
game scamm anjing,neutral,positive,negative,negative,negative,negative,negative,negative
game rusak giliran darah dikit kasih lawan yang menyala,negative,positive,negative,negative,negative,negative,negative,negative
lihat youtube lancar giliran main mcgg malah lag terus terusan kan aneh,negative,positive,negative,negative,negative,negative,negative,negative
berikan saya mino bintang dan saya akan memberikan bintang kepada anda deal v,negative,neutral,neutral,positive,negative,neutral,neutral,neutral
semenjak update sekarang sudah tidak seseru seperti dulu lagi sekarang kebanyakan leg leg nya,negative,negative,positive,negative,negative,negative,negative,positive
nerf lah hero hero harga gold meresahkan sekali orang yang main roll bawah membuat biar lebih balance saja kasihan orang yang mau main hero mahal tolong lah moonton,negative,positive,negative,negative,negative,negative,negative,negative
menurut saya season malah kurang asik masih bagus season yang pertama,negative,positive,negative,neutral,negative,negative,negative,negative
jangan tanya alasannya apa,negative,positive,negative,neutral,negative,positive,neutral,negative
mobile legend gokk gokk,neutral,negative,neutral,negative,neutral,neutral,neutral,negative
setiap main ada saja hero dan aitem yang enggak dapat pasti kurang hero,negative,positive,neutral,negative,negative,negative,negative,negative
makin tidak enak jelek,negative,positive,negative,negative,negative,negative,negative,negative
setiap update pasti data dalamnya kehapus,neutral,positive,negative,negative,negative,negative,negative,negative
lalot parah enggak gerak aneh saya coba main sambil buka youtubemalah lancar youtubenya artinya bukan di koneksi tapi di dalam game,negative,positive,negative,positive,negative,negative,negative,negative
seru sekali game nya saya orang sibuk enggak ada waktu lagi buat ml solusinya pindah sini,negative,negative,positive,negative,negative,negative,positive,positive
oi moonton game lu lag parah saya sampai bolak balik rilog tolong lah di perbaiki lagi mas moonton yang ganteng,negative,positive,negative,negative,negative,negative,negative,negative
error banyak bub parah,negative,positive,negative,negative,negative,negative,negative,negative
tolong untuk gamenya supaya bisa di mainkan pakai mos dan keyboard di perangkat handphone,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
sempurna,negative,negative,positive,negative,neutral,positive,positive,positive
tolong diperbaiki masa mau masuk jalan pertandingan tibakeluar sendiri,negative,positive,negative,negative,negative,negative,neutral,negative
setiap update selalu harus ngulang donwload data,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
menyesal install nya,negative,positive,negative,negative,negative,negative,negative,negative
mantap saya suka beutyful saya nak tige,negative,negative,positive,positive,neutral,positive,positive,positive
game tidak jelas main lag data masih bisa di install tapi malah macet durasi buat mengatur stratego sama beli masih kurang lama di tambah nge lag ngebuat layar nge freeze padahal ping koneksi sudah putih dan stabil di ms masih saja lag pasti kesalahan dari servernya sudah begitu bug nya banyak pula benar benar tidak recomended buat wifi lambat koneksi bagus saja masih lag apa lagi koneksi lambat buruk sekali,negative,positive,negative,negative,negative,negative,negative,negative
sering sekali koneksi error padahal signal lancar buat ml atau youtube,negative,positive,negative,negative,negative,negative,negative,negative
game nya seru lah lah mantap saran kakak kalau bisa waktu pemilihan go go card nya di perbesar kesulitan membaca tulisan nya terima kasih,negative,negative,positive,neutral,neutral,positive,positive,positive
anjayyyyy,neutral,positive,negative,negative,negative,positive,neutral,negative
season malas main tidak seru,negative,positive,negative,negative,negative,negative,negative,negative
game nya bagus cuy asik lah tapiiiiiiiiiiiiiiii ada lah bug nya tiba tiba koneksi bisa lag sendiri ya itulah pokok nya,negative,negative,positive,neutral,negative,negative,negative,negative
untuk semua nya baguscuman hanya terkendala di koneksi yang mungkin di daerah ku kurang stabildan lagi yaitu waktunya yang sangat amat cepatbelum selesai memikirkan strategi tiba tiba waktunya sudah habisjadi tolong untuk moonton di buat waktu saat di stand by phase di berikan waktu yang sedikit lebih lama lagi agar player bisa memikirkan strategi terlebih dahulu,negative,positive,negative,neutral,negative,positive,negative,negative
yz hero gold paling ampas,neutral,neutral,negative,negative,neutral,positive,positive,negative
bagus sekali saya sangat puas dengan permainan ini,negative,negative,positive,positive,neutral,positive,positive,positive
makin kesini bukan makin seru malah benar benar seperti judi uji keberuntungan doang enggak ada asah otak have fun buat exsperimen makin sulit ya itu karena ngandelin keberuntungan doang,negative,positive,negative,negative,negative,negative,negative,negative
tambah kan fitur cek profil ketika machtmaking,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
gamenya seru dan hd,negative,negative,positive,positive,neutral,positive,positive,positive
game paling tidak jelas wifi lag telkomsel juga lag mending hapus saja game nya tidak guna,negative,positive,negative,negative,negative,negative,negative,negative
game sampah makin update makin tidak ngotak pembaruan nya saran saya mah mending enggak usah misah dari mlbb,negative,positive,negative,negative,negative,negative,negative,negative
gameplay bagus dan simple dan menarik namun entah kenapa saya sering keluar masuk game sendiri ketika sedang bermain,negative,negative,positive,neutral,neutral,negative,positive,positive
gamenya bagus tetapi menurut saya lebih bagusan ini daripada yang dulu,neutral,positive,positive,neutral,neutral,positive,positive,positive
bosan mending mc biasa daripada mcgg,negative,positive,negative,negative,negative,negative,negative,negative
sistem pemberian hero dan item tidak adil damage kadang tidak masuk akal dari pihak lawan dan masih ada yang bermain curang dengan cara membuat sinyal lawan hilang tapi kemungkinan juga ini dari sistem nya suka lag di bagian akhir babak juga lawan tidak seimbang,negative,positive,negative,negative,negative,negative,negative,negative
permainan nya jelek tidak ada keseimbangan hero di shoop kalau sudah masuk ke epik itu saja hero yang kita kumpulin nyaris tidak ada di shoop lawan sudah punya hero haraga bintang di shoop kita masih spam hero harga dan lawan sudah punya harga beberapa di shoop kita baru harga dan munccul hero harga sudah keluar saja,negative,positive,negative,negative,negative,negative,negative,negative
makin kesini makin tidak jelas sinyalnya anjjjg wifi lancar padahal buat apa saja,negative,positive,negative,negative,negative,negative,negative,negative
saat bermain tibatiba berhenti terus saat login tidak bisa masuk ke match nya saat sudah masuk ke game tibatiba match nya sudah selesai,negative,neutral,neutral,negative,negative,negative,negative,neutral
semakin ngawur lebih bagus season,positive,positive,positive,negative,negative,positive,negative,negative
tiba tiba lost koneksi padal sudah kencang game rusak,negative,positive,negative,negative,negative,negative,negative,negative
sinyal nya sering hilang saya sampai kalah mabar,negative,positive,negative,negative,negative,negative,negative,negative
permainan apa ini ulasan yang lu tulis dibwh itu akun suruh suruh nya tidak jelas nih game,negative,positive,negative,negative,negative,negative,negative,negative
parah kali koneksi main magic chess go go mohon diperbaiki jaringannya kenapa separah itu koneksi main magic chess,negative,positive,negative,negative,negative,negative,negative,negative
tidak jelas saya mau ganti akun tidak ada menunya,negative,neutral,negative,negative,negative,negative,negative,negative
game yang sangat seru sekali pokoknya semoga makin sukses untuk game ini,negative,negative,positive,positive,neutral,positive,positive,positive
game apa ini pakai comander thars kok natan nya tidak keluar sampai kali padahal natan nya,negative,positive,negative,negative,negative,negative,negative,negative
tolong lah monton perbaiki permainannya banyak bug bug yang tidak jelas anjing,negative,positive,negative,negative,negative,negative,negative,negative
gamenya pilih kasih sama player nya yang lain ada game praktik sedang di saya tidak adaaa,negative,neutral,neutral,negative,negative,negative,negative,negative
tidak enak game sekarang enakan game yang lama sekarang hiro banyak scemm susah di dapat kan game anjing yang sekarang,negative,positive,negative,negative,negative,negative,negative,negative
membosankan tidak seperti dulu,negative,positive,negative,negative,negative,positive,negative,negative
saya lebih suka magic cess yang masih menyatu di mobile legendsemenjak pisah jadi tidak seru,negative,positive,negative,negative,negative,positive,negative,negative
game kikir adu beruntung,neutral,negative,positive,negative,negative,neutral,positive,positive
setelah update malah ada fitur tidak guna sgala comander bisa jalan ke arena pertempuran malah membuat menutupi permainan tidak sih jadi malas mainnya,negative,positive,negative,negative,negative,negative,negative,negative
game apa ini diupdate tidak mau,negative,positive,negative,negative,negative,negative,negative,negative
bagus sekali game nya apalagi kalau di tamba jadi vs seperti ml mode permainan baru,negative,negative,positive,positive,neutral,positive,positive,positive
untuk equipment blessing shifter kasih pilahan lah tidak mungkin cuma ada sinergi tiap hero biar lebih gampang saja tentukan sinergi yang mau di ganti kadang bug sudah di ganti malah tidak ganti,negative,neutral,neutral,negative,negative,neutral,neutral,negative
lag parah padahal koneksi bagus wifi bagus tapi tetap saja lag,negative,positive,negative,negative,negative,negative,negative,negative
bagus tinggal kurangi bug nya saja,negative,positive,negative,neutral,negative,negative,negative,negative
sering mengalami kendala lag saat bermain padahal devicesinyal bagusnya,neutral,positive,negative,negative,negative,positive,positive,negative
commander jonshon tolonglah di nerf tidak ngotak kali mengasih buf begitu,negative,positive,negative,negative,negative,neutral,negative,negative
nerf dong johnson enggak jelas,negative,positive,negative,negative,negative,negative,negative,negative
permainan anda mengalami pemborosan baterai berlebih tolong dioptimalkan lagi pada efek terendah karena saya habis menit pertandingan ini yang sangatsangat membuat bosan permainan anda sangat boros baterai yang berlebih saya harap kedepannya dioptimalkan lagi dari konsumsi baterainya,negative,positive,negative,negative,negative,negative,negative,negative
paja,neutral,negative,negative,neutral,neutral,positive,positive,negative
sesuai kan gamenya jagan bosan mainnya,positive,positive,negative,neutral,neutral,positive,negative,positive
sekarang penentu kemenangan bergantung pada card enggak seperti dhl,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
ini bagaimana moonton kenapa enggak bisa login,neutral,neutral,neutral,negative,negative,negative,neutral,neutral
seru game nya buat kaum orang bosan semua kalau mau lihat yang tidak paham cara combo sama event gratis tapi saya tidak pernah mendapatkan skin semuanya,negative,positive,negative,positive,negative,negative,negative,negative
game nya seru tida membosankan,negative,negative,positive,positive,neutral,positive,negative,positive
oookeee,neutral,negative,negative,neutral,negative,positive,neutral,negative
setelah magic chess diubah menjadi magic chess go go gamenya malah menjadi semakin buruk yang di mana item starfall dihilangkan yang membuat player tharz menjadi sangat banyak yang akhirnya membuat game menjadi tidak seimbangjika kondisi permainan seperti ini dibiarkan terus menerus magic chess go go akan kehilangan banyak playernya,negative,positive,negative,negative,negative,negative,negative,negative
permainan ini tidak bagus,negative,positive,negative,negative,negative,negative,negative,negative
sinergi terlalu tidak seimbang,negative,positive,negative,negative,negative,negative,negative,negative
recommended game cuma saya saja kali ya buat win susah kali,negative,positive,positive,neutral,negative,negative,negative,negative
koneksi semakin buruk tolong perbaiki montoon padahal buka sosmed sama game lain lancar tolong semenjak update koneksi sering lag padahal sinyal kencang sering lag koneksi hilang tiba² tolong perbaiki masalah koneksi nya dulu soal update an nya oke² saja tapi koneksi nya aneh,negative,positive,negative,negative,negative,negative,negative,negative
tidak usah main gemas monton,negative,positive,negative,negative,negative,negative,negative,negative
tolong dong untuk fitur log ini dan log out itu sedikit di permudah saya mau masuk ke akun lama saya bener² susah sekali selalu muncul keterangan tidak tedaftar padahal akun nya ada sudah semua cara di coba tetap saja tidak bisa mungkin fitur itu kuat menyangkut ke amanan tapi untuk yang mau membuat acc baru atau mau login ke akun lama tuh susah sekali benar benar membuat emosi nya,negative,positive,negative,negative,negative,negative,negative,negative
saya sudah mengumpulkan koin tapi tadik pun vessana,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
ok terima kasih,positive,negative,positive,positive,neutral,neutral,positive,neutral
kontl seminggu main musuhnya bottgame rungkadddd,negative,positive,negative,negative,negative,neutral,neutral,negative
magic chess tololll susah cari hiro yang di butuhkan tololl,negative,positive,negative,negative,negative,negative,negative,negative
sangat bagus kalian wajib install menghilangkan bosan,negative,negative,positive,positive,neutral,positive,positive,positive
game nya menarik di dalam permain nya banyak kombo makin menikat dari pada update yang lalu lebih bagusmeningkat namun saran saya tolong komender lawas di tikatkan lagi bos seperti tida berguna lagi supaya game play nya ada banyak macam di dalam game pelay nya dan tidak membosankan yang ada itu dan itu jadi malas main sekian dan terimakasih,negative,positive,negative,negative,negative,positive,negative,positive
jujur saya lebih suka yang dulutampilan hero sama mobil legend tidak mbingungin kalau punya skin saja kelihatan saat main bukan saat memilih,negative,negative,positive,positive,neutral,positive,negative,positive
setelah update mc gogo tidak seruh lagi menurut saya saya main dari dulu game ini sangat di sayangkan update nya berlebihan dan membuat main nya tidak seruh lagi gatotkaca sudah hilang kombo lama sudah di hilangkan sudah tidak seruh lagi,negative,positive,negative,negative,negative,negative,negative,negative
