content,clean_for_labeling
"keren tolong dong supaya di dalam permainan nya bisa di zoom seperti TFT, jadi bisa di lihat dari dekat 👍",keren tolong dong supaya di dalam permainan nya bisa di zoom seperti tft jadi bisa di lihat dari dekat
Fitur nya bagus,fitur nya bagus
terbaik sinerginya seimbang megic chess GoGo makin sukses,terbaik sinerginya seimbang megic chess gogo makin sukses
game butuh pengembangan lagi agara seru 10/10,game butuh pengembangan lagi agara seru
"Setelah di update game nya jelek gak se seru dulu, banyak Hero nya yang hilang padahal aku suka pas masih ada belerick grock and Gatotkaca setelah mereka bertiga hilang game sangan membosankan",setelah di update game nya jelek tidak se seru dulu banyak hero nya yang hilang padahal saya suka saat masih ada belerick grock and gatotkaca setelah mereka bertiga hilang game sangan membosankan
Bagus gemanya gerafinya sama aepeti gema asil nya,bagus gemanya gerafinya sama aepeti gema asil nya
"makin kesini makin Kacau updatenya ga sekalian ketabrak jhonson mokad semua, hero 4 gold ⭐3 pun kalah dengan hero 3 gold ⭐3 logika nya dimana padahal sama aktif 6 sinergi",makin kesini makin kacau updatenya tidak sekalian ketabrak jhonson mokad semua hero gold pun kalah dengan hero gold logika nya dimana padahal sama aktif sinergi
lebih seru sebelum di update,lebih seru sebelum di update
mantap mcgg yg sekarang dari S1 sampai s2 adil.jgn seperti milih Hero yg pertama.karena hp saya spek kentang.klo yg hp spek gahar menang melulu ambil heronya pas dulu. yg sekarang enak soalnya bukan fokus ke sinergi itu aj melainkan yg lain.top dah mcgg. semoga nature spirit di kembalikan.hehehe,mantap mcgg yang sekarang dari sih sampai sih adiljgn seperti memilih hero yang pertamakarena ponsel saya spek kentangklo yang ponsel spek gahar menang melulu ambil heronya saat dulu yang sekarang enak soalnya bukan fokus ke sinergi itu saja melainkan yang laintop deh mcgg semoga nature spirit di kembalikanhehehe
mnttap banget kereeeen,mnttap sekali keren
recommended aj,recommended saja
game bangs.t main cape2 dapatin hero 4 gold 1 lagi habis koin 30 yang laun pada udah jadi 2 hero 4 goldnya,game bangst main cape dapatin hero gold lagi habis koin yang laun pada sudah jadi hero goldnya
update kali ini sangat mengecewakan berasa aneh buat maen sinergi terpaksa uninstal,update kali ini sangat mengecewakan berasa aneh buat main sinergi terpaksa uninstal
lebih bagus yang di mlbb dari pada yang ini penampilan Hero nya sangat buruk dan tidak seperti dulu dan tambah aplikasi lagi bikin nambah penyimpanan memori,lebih bagus yang di mlbb dari pada yang ini penampilan hero nya sangat buruk dan tidak seperti dulu dan tambah aplikasi lagi membuat menambah penyimpanan memori
"setelah di updete jaringan nya lag parahhh pdhal jringn nya bgus bgus aja, taiii",setelah di updete koneksi nya lag parahhh padahal jringn nya bagus bagus saja taiii
semoga beruntung,semoga beruntung
ook lah.tapi jangan update trus kasian yang pake ram 2,ook lahtapi jangan update terus kasihan yang menggunakan ram
"in terms of gameplay, honestly I prefer MLBB first",ini terms of gameplay honestly i prefer mlbb first
Gila ngefreme dan leg di hp saya....soal nya hp saya ram 2gb,gila ngefreme dan leg di ponsel sayasoal nya ponsel saya ram gb
Mantap dah magic chess ga di gabung ML jd ga ngeleg,mantap deh magic chess tidak di gabung ml menjadi tidak lag
abis update parahnya minta ampun!,habis update parahnya meminta ampun
"Tidak ada drak sistem nya, ya karena solo individual semua hehehe",tidak ada drak sistem nya ya karena solo individual semua hehehe
hapus sinergi Stargazer sama vonetis,hapus sinergi stargazer sama vonetis
"tambah lama main,tambah gk seru",tambah lama maintambah tidak seru
mantap and keren,mantap and keren
tingkatkan grafiknya,tingkatkan grafiknya
Sinergi Baru seru,sinergi baru seru
"aneh koneksi menghubungkan terus lagi enak enak main, relog baru lancar , tar menghubungkan lagi",aneh koneksi menghubungkan terus lagi enak enak main relog baru lancar entar menghubungkan lagi
"Adakan fitur live stream global khusus seperti MLBB, tidak hanya antar teman saja. Juga adakan ranking regional untuk menambah engagement.",adakan fitur live stream global khusus seperti mlbb tidak hanya antar teman saja juga adakan ranking regional untuk menambah engagement
"Sesungguhnya, para ahli strategy itu adalah seorang pengganguran yg tidak direstui keadaan",sesungguhnya para ahli strategy itu adalah seorang pengganguran yang tidak direstui keadaan
"MIN tolong kurangi damge Commander jonson, masak mino B3 kalah sama jonson B3",min tolong kurangi damge commander jonson masak mino bintang kalah sama jonson bintang
game sangat seru ayo taktik bermain strategi yang kompleks dan menegangkan,game sangat seru ayo taktik bermain strategi yang kompleks dan menegangkan
lebih menyenangkan dari game yang sebelum nya dengan banyak sinergi nya,lebih menyenangkan dari game yang sebelum nya dengan banyak sinergi nya
"game mantap,mending main ini ketimbang main ml ori",game mantapmending main ini ketimbang main ml orisinal
good game magic chess go...go,good game magic chess gogo
Game gacor tpi terlalu banyak sinergi yg sampai 10 dan terlalu banyak hero,game gacor tapi terlalu banyak sinergi yang sampai dan terlalu banyak hero
mantap oi,mantap oi
game nya bagus ada sinergi baru juga kalo ada sinergi yang kuat terutama domsword. domsword bisa memunculkan hero gratis yaitu hanabi. semoga bermanfaat bagi pemula,game nya bagus ada sinergi baru juga kalau ada sinergi yang kuat terutama domsword domsword bisa memunculkan hero gratis yaitu hanabi semoga bermanfaat bagi pemula
sinyal sudah membaik. aku kasih bintang 5,sinyal sudah membaik saya kasih bintang
"setiap masuk fase terakhir tu pasti ngelag setelah itu Force close, udah mah B3 susah pdhl di shop stock hero masih banyak",setiap masuk fase terakhir itu pasti lag setelah itu force close sudah mah bintang susah padahal di shop stock hero masih banyak
"bagus.,gak ngebosanin",bagusgak ngebosanin
Hero nya susah di cari tolong di jngan banyak tukar mending MC yang lama,hero nya susah di cari tolong di jangan banyak tukar mending mc yang lama
seru banget enga kalah sama ml biasa,seru sekali enga kalah sama ml biasa
Karena bosen maen emel pindah sini aja🤣,karena bosan main emel pindah sini saja
mendidik ✌🏼,mendidik
"nih game bagus banget, sangat menenangkan dan asik,",nih game bagus sekali sangat menenangkan dan asik
"nerf jhonny, masa semua hero sumonner b3 gw kalah sama jhony astro",nerf jhonny masa semua hero sumonner bintang saya kalah sama jhony astro
balikin gatottt,balikin gatottt
Review jujur kalo masih bintang 5 berarti bagus,review jujur kalau masih bintang berarti bagus
sangat direkomendasikan,sangat direkomendasikan
ok deh ship,ok deh ship
ngelag! mlbb aku grafik ultra gak lag tapi mcgg lag banget wallpaper aku sampai jadi hitam! sangat tidak direkomendasikan untuk handphone yang murah!,lag mlbb saya grafik ultra tidak lag tapi mcgg lag sekali wallpaper saya sampai jadi hitam sangat tidak direkomendasikan untuk handphone yang murah
"sebenernya si bagus ya, tapi masalah yang bikin gameplay ngga enak banget itu masih banyak, kaya pembagian Hero, pembagian equipment, trus yang persentase buat dapetin Hero yang seharga sekian gold itu ngga sesuai sama Hero"" apa yang keluar, dan pas lagi butuh Haro apa tuh yang keluar malah yang lain dan ngga nyambung sama sinergi nya sama sekali, jadi tolong diperbaikin moonton, buat sekarang gw kasih B2 dulu, masih banyak yang bikin ngga nyaman main",sebenarnya sih bagus ya tapi masalah yang membuat gameplay enggak enak sekali itu masih banyak seperti pembagian hero pembagian equipment terus yang persentase buat mendapatkan hero yang seharga sekian gold itu enggak sesuai sama hero apa yang keluar dan saat lagi butuh haro apa tuh yang keluar malah yang lain dan enggak menyambung sama sinergi nya sama sekali jadi tolong diperbaikin moonton buat sekarang saya kasih bintang dulu masih banyak yang membuat enggak nyaman main
animasi ok,animasi ok
sering keluar sendiri :v,sering keluar sendiri v
bikin wan wan ulti nya bisa terbang kek dulu,membuat wan wan ulti nya bisa terbang seperti dulu
tolong sediakan mode practice,tolong sediakan mode practice
gajelas taii loading kok negstuck di 47%,enggak jelas taii loading kok negstuck di
Lebih Jelek Magic Case Yg Sekarang .... Damage Bintang 3 pun Tak Berguna Kalian semua wajib mengetahui ini sebelum main Banyak Nya Cheat Yang Gold dan Bug ... Sunggu Mengecewakan Main Dari Moonton nih .... Ayo Semua Pindah Lagi Ke H.O.K biar moonton Bangkrut udh enak kemarin Bintang 3 Damage Brasa skrng Versi dan perubahan sangat jelek,lebih jelek magic case yang sekarang damage bintang pun tak berguna kalian semua wajib mengetahui ini sebelum main banyak nya cheat yang gold dan bug sungguh mengecewakan main dari moonton nih ayo semua pindah lagi ke hok biar moonton bangkrut sudah enak kemarin bintang damage berasa sekarang versi dan perubahan sangat jelek
masih banyak lag dibandingkan MLBB sya main MLBB lancar² aja dengan hp sama lokasi sama,masih banyak lag dibandingkan mlbb saya main mlbb lancar² saja dengan ponsel sama lokasi sama
gak jelas masa capek capek ngumpulin Hero kalah sama Jhony gila gak ngotak game ga jelas,tidak jelas masa capek capek ngumpulin hero kalah sama jhony gila tidak ngotak game tidak jelas
game mantb,game mantb
"Setelah update terbaru, hero di shop, pembagian hero, dan abiliti hero baru sangat random sehingga beberapa player banyak dirugikan di early game. Saya heran, ini permainan strategi atau keberuntungan sebenarnya? kadang saya dapat bagus, kadang ampasnya beneran seampas itu padahal hero dan sinergi yg aktif tidak bertabraka dgn player lain. Presentase hero muncul di shop juga sangat buruk, early game masih lv 3-4, mendapatkan hero harga 1 gold pun rasanya cukup sulit",setelah update terbaru hero di shop pembagian hero dan abiliti hero baru sangat random sehingga beberapa player banyak dirugikan di early game saya heran ini permainan strategi atau keberuntungan sebenarnya kadang saya dapat bagus kadang ampasnya benaran seampas itu padahal hero dan sinergi yang aktif tidak bertabraka dengan player lain presentase hero muncul di shop juga sangat buruk early game masih lv mendapatkan hero harga gold pun rasanya cukup sulit
buat game aja gak bener masa saya menang gold salah tambain Hero dulu salah gak jelas 😡😠😠😠😠😡😠😡,buat game saja tidak benar masa saya menang gold salah tambain hero dulu salah tidak jelas
bagus banget game nya yang belum download wajib download si,bagus sekali game nya yang belum download wajib download sih
blasingnya terlalu di fokuskan ke hero bintang 1,blasingnya terlalu di fokuskan ke hero bintang
alhamdulilah saya tidak butuh megic chess. buang saja ke selokan. tidak menguntungkan gem ini,alhamdulilah saya tidak butuh megic chess buang saja ke selokan tidak menguntungkan game ini
tolong perbaiki masalah jaringan..kalau mau main jaringan langsung merah.. semenjak MC di pisah sama mobile lagend sinyal MC burik banget penggunaan RAM terlalu besar,tolong perbaiki masalah jaringankalau mau main koneksi langsung merah semenjak mc di pisah sama mobile lagend sinyal mc burik sekali penggunaan ram terlalu besar
"Udah pernah coba main saat masih jadi satu sama mlbb, dan saya udah buat akun.kenapa saat mau login malah kesalahan jaringan udah di instal ulang sama aja tolong perbaiki agar akun saya bisa terhubung",sudah pernah coba main saat masih jadi satu sama mlbb dan saya sudah buat akunkenapa saat mau login malah kesalahan koneksi sudah di install ulang sama saja tolong perbaiki agar akun saya bisa terhubung
Sesi Mei 2025 Good Job,sesi mei good job
game nya jelek baget klo bisa nanti di update seperti megic ches yg lama,game nya jelek sekali kalau bisa nanti di update seperti megic ches yang lama
"Game nya seru , sesudah update nambah seruuu . saran : Comander tidak usah jalan2 ke dashboard ketika sedang pertandingan berlangsung karna tidak ada guna nya ( menghalangi pemandangan ketika bertanding )",game nya seru sesudah update menambah seruuu saran comander tidak usah jalan ke dashboard ketika sedang pertandingan berlangsung karena tidak ada guna nya menghalangi pemandangan ketika bertanding
"akhir season tidak mendapatkan apapun, payah",akhir season tidak mendapatkan apapun payah
"update nya makin aneh warna skin nya terlalu alay udah bagus kek S1, main bikin ketagihaan eh update malah kek gini jadi makin males main ,sinerginya gda yang seru masih seru vone sma necro mage.",update nya makin aneh warna skin nya terlalu alay sudah bagus seperti sih main membuat ketagihaan eh update malah seperti begini jadi makin malas main sinerginya enggak ada yang seru masih seru vone sama necro mage
Bagus sangat game ni,bagus sangat game nih
"Itu di check lagi yang pakai chit menyebabkan lag game, yang pake chit orangnya egois, saya sumpahin kuburannya sempit.",itu di check lagi yang pakai chit menyebabkan lag game yang menggunakan chit orangnya egois saya sumpahin kuburannya sempit
hanya orang bodoh yang mau bermain game ini,hanya orang bodoh yang mau bermain game ini
Nanti kalo udah nyaman kayak istri baru 5 bintang,nanti kalau sudah nyaman seperti istri baru bintang
Game santai tapi penuh tantangan dan strategi Aku suka!!!,game santai tapi penuh tantangan dan strategi saya suka
game ampas banyak bug,game ampas banyak bug
"udah bagus sih, cuman coba Commander nya di kasih mmr gitu biar semangat ngepush rank nya",sudah bagus sih cuman coba commander nya di kasih mmr begitu biar semangat ngepush rank nya
ga seru b a n g e t tapi boong 🤣🤣🤣🤣🤣🤣🤣🤣 seru sih tapi saat main musuhnya level 11 gua level 8,tidak seru bintang a n enggak e t tapi bohong seru sih tapi saat main musuhnya level saya level
makin seru dengan tampilan Hero sekarang,makin seru dengan tampilan hero sekarang
patch baru makin gak jelas !!!! hero 5 gold banyak yang gak guna !!! masih bagus versi lama. jadi males gag ada minat lagi !,patch baru makin tidak jelas hero gold banyak yang tidak guna masih bagus versi lama jadi malas enggak ada minat lagi
game badus sekali,game badus sekali
bagus game yng menguji kecerdasan,bagus game yang menguji kecerdasan
"sekarang sudah lebih menarik. banyak kombinasi, strategi, item dan tampilan menawan. good job lah",sekarang sudah lebih menarik banyak kombinasi strategi item dan tampilan menawan good job lah
"game in cukup bagus, tapi setiap kali update udah kage enak lagi main",game ini cukup bagus tapi setiap kali update sudah kage enak lagi main
Ahh mantap,ah mantap
setelah update makin bagus gamenya cuman saran saja nii itu yu Zong tolong di perbaiki skill nya asli gak guna mana hero 5 gold gak ada damage kan lucu 😂,setelah update makin bagus gamenya cuman saran saja ini itu yuk zong tolong di perbaiki skill nya asli tidak guna mana hero gold tidak ada damage kan lucu
gehe,gehe
"Kalw nge ban hero itu yg banyak dipilih oleh player bosq, jangan yg sedikit dipilih oleh player yg di ban",kalau nge ban hero itu yang banyak dipilih oleh player bosq jangan yang sedikit dipilih oleh player yang di ban
setelah update makin bingung main y,setelah update makin bingung main nya
"synergy doomswom summon hanabi , summon aja . jangan hanabi bisa kasih item & synergy jg hanabi ny mana bisa sampe bintang 4",synergy doomswom summon hanabi summon saja jangan hanabi bisa kasih item synergy juga hanabi nya mana bisa sampai bintang
monton ini nyari uang susah banget di mc Gogo 🥲 apalagi orang yang baru download . kalau orang yang download dari awal season 1 sih uangnya gacor tapi yang baru download susah banget dapet BP 🥲🥲,monton ini mencari uang susah sekali di mc gogo apalagi orang yang baru download kalau orang yang download dari awal season sih uangnya gacor tapi yang baru download susah sekali dapat bp
Game Mantaappp,game mantaappp
kenapa setelah di update malah ngLAG parah nuetttt,kenapa setelah di update malah lag parah nuetttt
game ini seru karena tidak harus main dengan 2 tangan,game ini seru karena tidak harus main dengan tangan
"game gaje,perbaiki jringannya lah,org main mlbb lancar² aja pas login mcgg mlh ngedown,udh ikutin instruksi tetep aja bsuk",game gajeperbaiki jringannya lahorg main mlbb lancar² saja saat login mcgg malah ngedownudh ikuti instruksi tetap saja bsuk
asikkkkkkkkk,asikkkkkkkkk
"setelah update s2 jd gk bisa ganti akun, tolong d perbaiki",setelah update sih menjadi tidak bisa ganti akun tolong di perbaiki
gue baru main,gue baru main
setelah di up malah tambah jelek,setelah di up malah tambah jelek
gem harus dibenet,game harus dibenet
oke op si tapi harusnya ada sinergi elementalis,ok op sih tapi harusnya ada sinergi elementalis
game bagus gak ada Dark sistem nya,game bagus tidak ada dark sistem nya
jib ajib game nya,jib ajib game nya
bagus yah lgi klo menang dapat uang,bagus ya lagi kalau menang dapat uang
"cukup joyful,pengisi waktu luang",cukup joyfulpengisi waktu luang
uninstall dulu makin sini magic chase makin susah ga masuk akal d mainin,uninstall dulu makin sini magic chase makin susah tidak masuk akal di mainin
Sagat seru,sagat seru
simpel tapi seru,simpel tapi seru
please make the synergy like before so you can get it in round 3,please memakai the synergy like before so you can get itu ini round
"pertandingan terlalu cepat berakhir 2kali lebih cepat dari magic chase yang dulu, gameplay yang e meungkinkan player comeback sudah tidak ada, permainan strategi terlalu mudah, sebagian besar kemenangan ditertukn oleh powernya doang membosankan karena komander tidak terlalu berpengaruh secara keseluruhan gameplay nya menjadi sangat simple seperti game anak anak",pertandingan terlalu cepat berakhir kali lebih cepat dari magic chase yang dulu gameplay yang e meungkinkan player comeback sudah tidak ada permainan strategi terlalu mudah sebagian besar kemenangan ditertukn oleh powernya doang membosankan karena komander tidak terlalu berpengaruh secara keseluruhan gameplay nya menjadi sangat simple seperti game anak anak
game nya seruu dan menyenangkan good lahh,game nya seru dan menyenangkan good lah
"tidak perlu aktif sampai 10 , sangat sulit atau mustahil aktif di mode rangked tinggi. dan Jagan lupa KANGKUNG gue balikinnnn moontonn",tidak perlu aktif sampai sangat sulit atau mustahil aktif di mode rangked tinggi dan jagan lupa kangkung gue balikinnnn moontonn
setelah update tidak bisa masuk.sudah reinstall sama saja. sistem minta reekstrak mulu g ada perubahan. kabarin ya kalo dah ada perubahan. skrg tak uninstall dulu,setelah update tidak bisa masuksudah reinstall sama saja sistem meminta reekstrak mulu enggak ada perubahan kabarin ya kalau deh ada perubahan sekarang tak uninstall dulu
"comander Jhonson sangat tidak jelas,masa sekali tabrak rata semua Hero saya",comander jhonson sangat tidak jelasmasa sekali tabrak rata semua hero saya
"kalian kalo buat perubahan yg wajar aja,, sekarang lagi banyak yg main Jony, itu sangat membuat ku stres mungkin yg lain juga merasakan. apakah semua game monton game yg membuat stres semua",kalian kalau buat perubahan yang wajar saja sekarang lagi banyak yang main jony itu sangat membuat ku stres mungkin yang lain juga merasakan apakah semua game monton game yang membuat stres semua
"game burik ada comnder hama nya,seperti Miya,Wawan bikin meresahkan player lain aja emang game burik banyak hama",game burik ada comnder hama nyaseperti miyawawan membuat meresahkan player lain saja memang game burik banyak hama
"gajelas, hironya susah didapetin, gaguna",enggak jelas hironya susah didapetin gaguna
mantap dan asik klau untuk permainan nya,mantap dan asik kalau untuk permainan nya
kenapa Hero Hanabi jadi mage..?? padahal di mlbb kan dia mm... aneh..🤔🤔🤔🤦🤦🤦,kenapa hero hanabi jadi mage padahal di mlbb kan dia mm aneh
Madev pokona mahh make V,madev pokona mahh memakai v
seneng bisa adu strategi sesama player mantap kalo bisa turnamen mcl nya gitu atau adu strategi antar provinsi gitu atau global,senang bisa adu strategi sesama player mantap kalau bisa turnamen mcl nya begitu atau adu strategi antar provinsi begitu atau global
Tolong Hero nya di tambah lagi seperti di Mobile Legend.. update terbaru ini hero yin kok gak ada ya?,tolong hero nya di tambah lagi seperti di mobile legend update terbaru ini hero yin kok tidak ada ya
"game udah bagus min,cuman lbih suka game play s1 dri pada yg skrng,dmna msih bnyk bug nya tolong di perbaiki lagi",game sudah bagus mincuman lebih suka game play sih dari pada yang skrngdmna masih banyak bug nya tolong di perbaiki lagi
terus di tingkatkan lagi biar makin seru,terus di tingkatkan lagi biar makin seru
setelah update ni game susah banget woi,setelah update nih game susah sekali woi
"Abis di update kaga seru, mending uninstall aja dah",habis di update kagak seru mending uninstall saja deh
efeknya bagusss,efeknya bagus
"hero dan sinerginya jadi aneh,lebih bagus yang sebelumnya",hero dan sinerginya jadi anehlebih bagus yang sebelumnya
"permainannya seru. hanya saja sering lag, patah patah saat pertarungan, terkadang restart sendiri. perbaiki jaringan. tampilan Hero juga sulit dikenali",permainannya seru hanya saja sering lag patah patah saat pertarungan terkadang restart sendiri perbaiki koneksi tampilan hero juga sulit dikenali
hero tidak ramah,hero tidak ramah
laporan tidak di tindak lanjut,laporan tidak di tindak lanjut
"update nya jelek, bagusan yang sebelumnya, terlalu banyak sinergi untuk 1x update jadi agak susah, mending kalau update 1 1 sinergi saja",update nya jelek bagusan yang sebelumnya terlalu banyak sinergi untuk kali update jadi agak susah mending kalau update sinergi saja
"magic chess jadi jelek saya yang sering main jadi males udah berubah bgt saya yang sering mabar sama temen saya jadi males gara"" udah berubah ayo lah jangan di ganti saya yang sering main jdi ga mau main lagi karna udah ga seruu lagi itu aja yang saya mau ngomong terimakasih 👎👎👎👎😿👎😿👎😿👎😿👎",magic chess jadi jelek saya yang sering main jadi malas sudah berubah sekali saya yang sering mabar sama teman saya jadi malas gara sudah berubah ayo lah jangan di ganti saya yang sering main jadi tidak mau main lagi karena sudah tidak seru lagi itu saja yang saya mau mengomong terimakasih
mcss gogo dulu gwe raja tharz tpi akun nya hilang sekarang lylia g seru g tharz dulu,mcss gogo dulu gwe raja tharz tapi akun nya hilang sekarang lylia enggak seru enggak tharz dulu
sekarang kurang seru karena om gatot sudah tiada ..tolong kembalikan om gatottt montooon,sekarang kurang seru karena om gatot sudah tiada tolong kembalikan om gatottt montooon
"tambah in dong min kalo main rank dan clasic jadi 5 kayak mobile legend, terima kasih :)",tambah ini dong min kalau main rank dan clasic jadi seperti mobile legend terima kasih
baguss wes ah males nulis,bagus wes ah malas nulis
memori terlalu besar makin berat nih game,memori terlalu besar makin berat nih game
setelah update animasinya lumayan menyakiti mata... semoga segera di perbaiki... overall game bagus tapi setelah update jadi gitu...,setelah update animasinya lumayan menyakiti mata semoga segera di perbaiki overall game bagus tapi setelah update jadi begitu
"keren season baru jadi lebih enak buat main , mantaaap",keren season baru jadi lebih enak buat main mantap
otak atik,otak atik
GAJELAS!!!! HAYA DAN HAYA,enggak jelas haya dan haya
haya penggendong,haya penggendong
"game gajelas pilih kasih masa gw di ksih hero bapuk mulu,item ga jelas,giliran dh mau kalah br di ksih hero bagus",game enggak jelas pilih kasih masa saya di kasih hero bapuk muluitem tidak jelasgiliran deh mau kalah baru di kasih hero bagus
baru juga dah mulai. kombo hama datang odete jilong *suu,baru juga deh mulai kombo hama datang odete jilong suu
"yu zhong tolong di rubah skill nya bang, masa hero 5 gold skill nya cuman jadi cacing muter2, revamp dong jadi naga tapi sehabis jadi naga yu zhong nya transform jadi yg besar, trus ulti/skill selanjutnya itu skill puter2 yang di perkuat itu. terimakasih 😁",yuk zhong tolong di rubah skill nya bang masa hero gold skill nya cuman jadi cacing muter revamp dong jadi naga tapi sehabis jadi naga yuk zhong nya transform jadi yang besar terus ultiskill selanjutnya itu skill puter yang di perkuat itu terimakasih
uninstall guys sinergi nature hilang,uninstall guys sinergi nature hilang
Lebih diperbaiki lagi munculnya hero pilihan,lebih diperbaiki lagi munculnya hero pilihan
"bagus, tapi tolong adakan pemisahan akun moonton dengan akun mcgogo nya supaya tidak terhubung",bagus tapi tolong adakan pemisahan akun moonton dengan akun mcgogo nya supaya tidak terhubung
menghibur cuma suka patah2 padahal hp saya ram besar. sama sinergi yg sekarang kayanya ngebosenin gtu,menghibur cuma suka patah padahal ponsel saya ram besar sama sinergi yang sekarang kayanya ngebosenin begitu
"terlalu banyak hero rekan...gak seru,jd sulit gabungin b3 skarang jd males uninstal deh",terlalu banyak hero rekangak serujd sulit gabungin bintang sekarang menjadi malas uninstal deh
"kasih nerf dulu tuh comander miya terlalu op soalnya, minimal skill miya tu gk bisa di pake berkali-kali, harusnya maximal 3x kek gimana gitu lah ini gk terbatas gimana gk susah coba, pesan terakhir nih kasih nerf miya kalo mau player nya gk sengsara kalo lu kasih buff tu yg ngotak dikit lah, gw tau kalo miya habis kena nerf tp masi sama aja kek dulu, kasih nerf miya kalo mau ku kasih bintang 5. semoga di jawab!!",kasih nerf dulu tuh comander miya terlalu op soalnya minimal skill miya itu tidak bisa di menggunakan berkalikali harusnya maximal kali seperti bagaimana begitu lah ini tidak terbatas bagaimana tidak susah coba pesan terakhir nih kasih nerf miya kalau mau player nya tidak sengsara kalau lu kasih buff itu yang ngotak dikit lah saya tahu kalau miya habis kena nerf tapi masih sama saja seperti dulu kasih nerf miya kalau mau ku kasih bintang semoga di jawab
saya suka bermain magic chess semoga game nya makin berkembang,saya suka bermain magic chess semoga game nya makin berkembang
UDAH JEL3K MC GO GO SEKARANG MENDING SEASON 1 DI BANDING SEASON 2,sudah jelk mc go go sekarang mending season di banding season
parah makin kacaw,parah makin kacaw
"jgn Lupa SHOLAT, GAME KEREN asik santai fokus",jangan lupa sholat game keren asik santai fokus
Kok makin susah aja nih.hero bukannya ditambah malah dihilangkan setelah update.balikkin ke awal semula dan tambah hero baru.,kok makin susah saja nihhero bukannya ditambah malah dihilangkan setelah updatebalikkin ke awal semula dan tambah hero baru
"bagusan sebelum di updete, setelah di updete makin rusak ini game mending gua hapus aja ga guna ni game stelah di updete",bagusan sebelum di updete setelah di updete makin rusak ini game mending saya hapus saja tidak guna nih game setelah di updete
luar biasa mcgogo saya suka,luar biasa mcgogo saya suka
setelah update tambah parah. sinyal bagus. spek hp bagus. tapi saat main sinyal kok merah ?,setelah update tambah parah sinyal bagus spek ponsel bagus tapi saat main sinyal kok merah
aku main ini biyar setiyap hari gratis skin di mlbb akun ke 2 ku,saya main ini biyar setiyap hari gratis skin di mlbb akun ke ku
lo punya masalah apa sih moonton sama akun gua?? ko gini amat sih,lo punya masalah apa sih moonton sama akun saya kok begini amat sih
"ini kenapa monton!!!! nggak bisa download data, jaringan saya bagus dari tadi dipencet nggak download-download , lu niat nggak sih bikin game, season 2 bukannya nambah bagus malah banyak bug, nickname saya aku dan 7 lolot",ini kenapa monton enggak bisa download data koneksi saya bagus dari tadi dipencet enggak downloaddownload lu niat enggak sih membuat game season bukannya menambah bagus malah banyak bug nickname saya saya dan lolot
"hp saya android Oppo a31 kenapa ga bisa ya,,? jadi gelap gambarnya",ponsel saya android oppo a kenapa tidak bisa ya jadi gelap gambarnya
"bagus yg bareng, kyk dulu beban yg ini jadinya",bagus yang bareng seperti dulu beban yang ini jadinya
apasi di pisah pisah bikin ribet aja,apasi di pisah pisah membuat ribet saja
"tolong ya ini di perbaiki lgi masalah koneksi nya, pas awal main koneksi nya lancar trus pas udah pertengahan game tiba-tiba koneksi nya langsung down, sangat menggangu sekali",tolong ya ini di perbaiki lagi masalah koneksi nya saat awal main koneksi nya lancar terus saat sudah pertengahan game tibatiba koneksi nya langsung down sangat menggangu sekali
dah bagus tingal di tingkatin lagi,deh bagus tinggal di tingkatin lagi
"makin di update malah kagak jelas, jadi maen nya kagak asik sumpah, kembalikan seperti awal, lagi",makin di update malah kagak jelas jadi main nya kagak asik sumpah kembalikan seperti awal lagi
data gak bisa mati,data tidak bisa mati
Horeee,horeee
sedikit kecewa sama update nya,sedikit kecewa sama update nya
"Setelah Update malah bug jaringan, Lagi main putus putus gak jelas, Jaringan pakai Starlink padahal",setelah update malah bug koneksi lagi main putus putus tidak jelas koneksi pakai starlink padahal
bagus game ini seru di mainkan jika anda sedang gabut,bagus game ini seru di mainkan jika anda sedang bosan
lumayan menghibur di waktu nunggu,lumayan menghibur di waktu nunggu
makin lelet jam sibuk ga bisa milih Hero. main ml lancar. gem ap ini makin parah ga bisah main. bagus hapus aj gem kamu ini ga seperti pertama main gem. ilangkan suntuk jadi makin suntuk bikin emosi,makin lelet jam sibuk tidak bisa memilih hero main ml lancar game apa ini makin parah tidak bisah main bagus hapus saja game kamu ini tidak seperti pertama main game ilangkan suntuk jadi makin suntuk membuat emosi
smkin seru skrg magic chest,smkin seru sekarang magic chest
mantab.... di umur yg ke 42 q masih suka main game tiap hari.... buat hiburan. dan ini game yg cocok buat q,mantap di umur yang ke saya masih suka main game tiap hari buat hiburan dan ini game yang cocok buat saya
sistem dapat hero pas in game sangat ampass.,sistem dapat hero saat ini game sangat ampass
"1. TOLONG UNTUK COMMANDER AURORA TINGKATKAN LAGI DROP RATE MAGIC CRYSTAL KARNA SUSAH SEKALI DAPATNYA, SELALU DAPAT EXP TERUS 2. MODE TAG TEAM JIKA JUARA 3 TOLONG JANGAN DITURUNKAN POINNYA KARNA KITA CAPE MAIN 30 MENIT TAPI MALAH TURUN POINNYA MINIMAL 0 POIN TIDAK NAIK DAN TIDAK TURUN",tolong untuk commander aurora tingkatkan lagi drop rate magic crystal karena susah sekali dapatnya selalu dapat exp terus mode tag team jika juara tolong jangan diturunkan poinnya karena kita cape main menit tapi malah turun poinnya minimal poin tidak naik dan tidak turun
sinergi baru sinergi terjelek...,sinergi baru sinergi terjelek
